Frequency,Magnitude_Phase
Freq.,mag(V(input)/I(R1))
2.88403150312658e+04,"(5.76311949697232e+01dB,0.00000000000000e+00°)"
2.95120922666636e+04,"(5.75459878277653e+01dB,0.00000000000000e+00°)"
3.01995172040199e+04,"(5.74585212891865e+01dB,0.00000000000000e+00°)"
3.09029543251357e+04,"(5.73687822787511e+01dB,0.00000000000000e+00°)"
3.16227766016835e+04,"(5.72767600356288e+01dB,0.00000000000000e+00°)"
3.23593656929626e+04,"(5.71824461582564e+01dB,0.00000000000000e+00°)"
3.31131121482588e+04,"(5.70858346395863e+01dB,0.00000000000000e+00°)"
3.38844156139200e+04,"(5.69869218924082e+01dB,0.00000000000000e+00°)"
3.46736850452529e+04,"(5.68857067645175e+01dB,0.00000000000000e+00°)"
3.54813389233573e+04,"(5.67821905435951e+01dB,0.00000000000000e+00°)"
3.63078054770098e+04,"(5.66763769517542e+01dB,0.00000000000000e+00°)"
3.71535229097169e+04,"(5.65682721298033e+01dB,0.00000000000000e+00°)"
3.80189396320558e+04,"(5.64578846113666e+01dB,0.00000000000000e+00°)"
3.89045144994277e+04,"(5.63452252870925e+01dB,0.00000000000000e+00°)"
3.98107170553494e+04,"(5.62303073592682e+01dB,0.00000000000000e+00°)"
4.07380277804109e+04,"(5.61131462872393e+01dB,0.00000000000000e+00°)"
4.16869383470332e+04,"(5.59937597241083e+01dB,0.00000000000000e+00°)"
4.26579518801589e+04,"(5.58721674452568e+01dB,0.00000000000000e+00°)"
4.36515832240162e+04,"(5.57483912692948e+01dB,0.00000000000000e+00°)"
4.46683592150959e+04,"(5.56224549720919e+01dB,0.00000000000000e+00°)"
4.57088189614871e+04,"(5.54943841945928e+01dB,0.00000000000000e+00°)"
4.67735141287194e+04,"(5.53642063451461e+01dB,0.00000000000000e+00°)"
4.78630092322634e+04,"(5.52319504971070e+01dB,0.00000000000000e+00°)"
4.89778819368442e+04,"(5.50976472824817e+01dB,0.00000000000000e+00°)"
5.01187233627268e+04,"(5.49613287823922e+01dB,0.00000000000000e+00°)"
5.12861383991360e+04,"(5.48230284151332e+01dB,0.00000000000000e+00°)"
5.24807460249768e+04,"(5.46827808225806e+01dB,0.00000000000000e+00°)"
5.37031796370248e+04,"(5.45406217556921e+01dB,0.00000000000000e+00°)"
5.49540873857620e+04,"(5.43965879598127e+01dB,0.00000000000000e+00°)"
5.62341325190344e+04,"(5.42507170604626e+01dB,0.00000000000000e+00°)"
5.75439937337152e+04,"(5.41030474502494e+01dB,0.00000000000000e+00°)"
5.88843655355584e+04,"(5.39536181774992e+01dB,0.00000000000000e+00°)"
6.02559586074352e+04,"(5.38024688371569e+01dB,0.00000000000000e+00°)"
6.16595001861477e+04,"(5.36496394644537e+01dB,0.00000000000000e+00°)"
6.30957344480187e+04,"(5.34951704317907e+01dB,0.00000000000000e+00°)"
6.45654229034650e+04,"(5.33391023492317e+01dB,0.00000000000000e+00°)"
6.60693448007590e+04,"(5.31814759689472e+01dB,0.00000000000000e+00°)"
6.76082975391975e+04,"(5.30223320938999e+01dB,0.00000000000000e+00°)"
6.91830970918930e+04,"(5.28617114910061e+01dB,0.00000000000000e+00°)"
7.07945784384131e+04,"(5.26996548089639e+01dB,0.00000000000000e+00°)"
7.24435960074983e+04,"(5.25362025008860e+01dB,0.00000000000000e+00°)"
7.41310241300911e+04,"(5.23713947518324e+01dB,0.00000000000000e+00°)"
7.58577575029177e+04,"(5.22052714112959e+01dB,0.00000000000000e+00°)"
7.76247116628685e+04,"(5.20378719306531e+01dB,0.00000000000000e+00°)"
7.94328234724274e+04,"(5.18692353055593e+01dB,0.00000000000000e+00°)"
8.12830516164092e+04,"(5.16994000232308e+01dB,0.00000000000000e+00°)"
8.31763771102663e+04,"(5.15284040145322e+01dB,0.00000000000000e+00°)"
8.51138038202369e+04,"(5.13562846107575e+01dB,0.00000000000000e+00°)"
8.70963589956073e+04,"(5.11830785049736e+01dB,0.00000000000000e+00°)"
8.91250938133737e+04,"(5.10088217177754e+01dB,0.00000000000000e+00°)"
9.12010839355901e+04,"(5.08335495672853e+01dB,0.00000000000000e+00°)"
9.33254300796982e+04,"(5.06572966432161e+01dB,0.00000000000000e+00°)"
9.54992586021427e+04,"(5.04800967848093e+01dB,0.00000000000000e+00°)"
9.77237220955802e+04,"(5.03019830624495e+01dB,0.00000000000000e+00°)"
9.99999999999991e+04,"(5.01229877627530e+01dB,0.00000000000000e+00°)"
1.02329299228074e+05,"(4.99431423769238e+01dB,0.00000000000000e+00°)"
1.04712854805089e+05,"(4.97624775921715e+01dB,0.00000000000000e+00°)"
1.07151930523760e+05,"(4.95810232859832e+01dB,0.00000000000000e+00°)"
1.09647819614317e+05,"(4.93988085230470e+01dB,0.00000000000000e+00°)"
1.12201845430195e+05,"(4.92158615546258e+01dB,0.00000000000000e+00°)"
1.14815362149687e+05,"(4.90322098201852e+01dB,0.00000000000000e+00°)"
1.17489755493952e+05,"(4.88478799510863e+01dB,0.00000000000000e+00°)"
1.20226443461740e+05,"(4.86628977761596e+01dB,0.00000000000000e+00°)"
1.23026877081237e+05,"(4.84772883289826e+01dB,0.00000000000000e+00°)"
1.25892541179416e+05,"(4.82910758566932e+01dB,0.00000000000000e+00°)"
1.28824955169312e+05,"(4.81042838301773e+01dB,0.00000000000000e+00°)"
1.31825673855639e+05,"(4.79169349554776e+01dB,0.00000000000000e+00°)"
1.34896288259164e+05,"(4.77290511862806e+01dB,0.00000000000000e+00°)"
1.38038426460287e+05,"(4.75406537373435e+01dB,0.00000000000000e+00°)"
1.41253754462274e+05,"(4.73517630987362e+01dB,0.00000000000000e+00°)"
1.44543977074591e+05,"(4.71623990507767e+01dB,0.00000000000000e+00°)"
1.47910838816819e+05,"(4.69725806795510e+01dB,0.00000000000000e+00°)"
1.51356124843619e+05,"(4.67823263929132e+01dB,0.00000000000000e+00°)"
